Total Free, Max Free, Avg Free, Min Free, Num Chunks, 
1024,1024,1024,1024,1,
1008,1008,1008,1008,1,
976,976,976,976,1,
968,968,968,968,1,
920,920,920,920,1,
848,848,848,848,1,
847,847,847,847,1,
845,845,845,845,1,
893,845,446,48,2,
889,845,444,44,2,
885,845,442,40,2,
957,845,478,112,2,
829,717,414,112,2,
797,717,398,80,2,
733,717,366,16,2,
765,717,255,16,3,
717,669,239,16,3,
701,669,233,16,3,
677,645,225,16,3,
681,645,170,4,4,
673,645,168,4,4,
669,645,167,4,4,
605,581,151,4,4,
349,325,87,4,4,
477,325,95,4,5,
445,325,89,4,5,
461,325,76,4,6,
429,325,71,4,6,
365,325,73,4,5,
397,325,79,4,5,
333,261,66,4,5,
301,261,60,4,5,
253,213,50,4,5,
317,213,52,4,6,
189,85,31,4,6,
253,85,36,4,7,
237,85,39,4,6,
221,85,44,4,5,
205,85,41,4,5,
189,85,37,4,5,
173,85,34,4,5,
141,85,28,4,5,
77,32,15,4,5,
109,64,21,4,5,
93,64,23,4,4,
77,48,19,4,4,
333,304,83,4,4,
269,240,67,4,4,
253,224,63,4,4,
237,208,59,4,4,
221,192,55,4,4,
93,64,23,4,4,
109,64,21,4,5,
237,192,47,4,5,
253,208,50,4,5,
269,240,67,4,4,
333,304,83,4,4,
349,320,87,4,4,
365,320,73,4,5,
381,320,76,4,5,
397,320,79,4,5,
413,320,68,4,6,
429,320,61,4,7,
173,64,24,4,7,
301,128,37,4,8,
305,128,38,4,8,
337,128,37,4,9,
273,128,34,4,8,
321,176,40,4,8,
385,240,48,4,8,
353,240,50,4,7,
401,240,50,4,8,
433,240,48,4,9,
497,304,55,4,9,
753,560,83,4,9,
817,645,102,4,8,
833,645,119,4,7,
897,645,149,8,6,
905,645,181,32,5,
929,781,232,32,4,
961,781,240,32,4,
993,845,331,32,3,
997,845,332,32,3,
999,847,333,32,3,
1000,968,500,32,2,
1008,1008,1008,1008,1,
